subject_id,class,rank,feature,coefficient,abs_coefficient
211-000537,NEUTRO,13,FC5_Alpha,0.16352665424346924,0.16352665424346924
211-000537,NEUTRO,14,F4_Beta,0.16134490072727203,0.16134490072727203
211-000537,NEUTRO,15,CP6_Beta,-0.1563572883605957,0.1563572883605957
211-000537,SAD,1,C6_Beta,0.9740995168685913,0.9740995168685913
211-000537,SAD,2,FT8_Beta,-0.4661354422569275,0.4661354422569275
211-000537,SAD,3,FC3_Beta,-0.4160252511501312,0.4160252511501312
211-000537,SAD,4,TP7_Beta,0.3739102780818939,0.3739102780818939
211-000537,SAD,5,AlphaAsym_C6-C5,0.2885611951351166,0.2885611951351166
211-000537,SAD,6,T8_Beta,-0.27740779519081116,0.27740779519081116
211-000537,SAD,7,PO6_Beta,0.272397518157959,0.272397518157959
211-000537,SAD,8,FCz_Beta,0.2573542594909668,0.2573542594909668
211-000537,SAD,9,FC4_Beta,-0.23506510257720947,0.23506510257720947
211-000537,SAD,10,P1_Beta,0.23204725980758667,0.23204725980758667
211-000537,SAD,11,C6_Alpha,0.22413554787635803,0.22413554787635803
211-000537,SAD,12,AF7_Beta,-0.20786866545677185,0.20786866545677185
211-000537,SAD,13,CP6_Beta,0.20187848806381226,0.20187848806381226
211-000537,SAD,14,TP7_Alpha,0.196702241897583,0.196702241897583
211-000537,SAD,15,PO5_Beta,0.16206452250480652,0.16206452250480652
211-000539,JOY,1,Fp2_Beta,-0.7547236680984497,0.7547236680984497
211-000539,JOY,2,AF7_Beta,-0.7385660409927368,0.7385660409927368
211-000539,JOY,3,F5_Beta,0.3164448142051697,0.3164448142051697
211-000539,JOY,4,T7_Beta,0.30342772603034973,0.30342772603034973
211-000539,JOY,5,F4_Beta,0.2975420355796814,0.2975420355796814
211-000539,JOY,6,FT7_Beta,0.2948818802833557,0.2948818802833557
211-000539,JOY,7,AF7_Alpha,-0.28861314058303833,0.28861314058303833
211-000539,JOY,8,PO6_Beta,-0.21520741283893585,0.21520741283893585
211-000539,JOY,9,Fp2_Alpha,-0.18261082470417023,0.18261082470417023
211-000539,JOY,10,AF8_Beta,-0.15037986636161804,0.15037986636161804
211-000539,JOY,11,AF8_Alpha,-0.12038945406675339,0.12038945406675339
211-000539,JOY,12,AF3_Beta,-0.08533551543951035,0.08533551543951035
211-000539,JOY,13,FC5_Beta,0.0709470584988594,0.0709470584988594
211-000539,JOY,14,TP7_Beta,0.06692168116569519,0.06692168116569519
211-000539,JOY,15,AlphaAsym_PO6-PO5,-0.061764296144247055,0.061764296144247055
211-000539,NEUTRO,1,C5_Beta,-0.4818587005138397,0.4818587005138397
211-000539,NEUTRO,2,FC3_Beta,-0.4684329330921173,0.4684329330921173
211-000539,NEUTRO,3,FT7_Beta,-0.44981303811073303,0.44981303811073303
211-000539,NEUTRO,4,FCz_Beta,0.42225369811058044,0.42225369811058044
211-000539,NEUTRO,5,AF3_Alpha,0.3798286020755768,0.3798286020755768
211-000539,NEUTRO,6,AlphaAsym_C6-C5,-0.33390477299690247,0.33390477299690247
211-000539,NEUTRO,7,AlphaAsym_TP8-TP7,0.31020936369895935,0.31020936369895935
211-000539,NEUTRO,8,PO7_Alpha,-0.23621997237205505,0.23621997237205505
211-000539,NEUTRO,9,Fz_Alpha,-0.2322661578655243,0.2322661578655243
211-000539,NEUTRO,10,O1_Alpha,-0.22686555981636047,0.22686555981636047
