class_label,condition,channel,band,mean_abs_shap,mean_signed_shap,n_subjects
0,JOY,FCz,Alpha,0.008629750110723502,0.007405793059918293,23
0,JOY,FCz,Beta,0.0012603286851155223,0.0007297491813320001,23
0,JOY,FCz,Gamma,0.0025841499404135517,0.0018912232604552687,23
0,JOY,Fz,Delta,0.0,0.0,23
0,JOY,Fz,Theta,0.0017699381630414373,0.0013320918648314437,23
0,JOY,Fz,Alpha,0.004223945351859217,0.003233712420376931,23
0,JOY,Fz,Beta,0.005920630944753124,0.00570054687405582,23
0,JOY,Fz,Gamma,0.024986488527245387,0.017052697811103346,23
0,JOY,F4,Delta,0.02081784720199431,0.017673260040214224,23
0,JOY,F4,Theta,0.013152165289193904,0.00963299087489631,23
0,JOY,F4,Alpha,0.004017038837449693,0.0025593528109959453,23
0,JOY,F4,Beta,0.019274548021543634,0.0156461665420375,23
0,JOY,F4,Gamma,0.006844492363737699,0.005954865792012376,23
0,JOY,F8,Delta,0.0011720818461184626,0.0008021840098244866,23
0,JOY,F8,Theta,0.004859062513232192,0.004478626503593044,23
0,JOY,F8,Alpha,0.0012025146074562609,0.0009237299213464321,23
0,JOY,F8,Beta,0.005051119649165855,0.0032573495437508413,23
0,JOY,F8,Gamma,0.0,0.0,23
0,JOY,T7,Delta,0.004247917173423948,0.003953614512320624,23
0,JOY,T7,Theta,0.002293687157176413,0.0003740476491056994,23
0,JOY,T7,Alpha,0.00840986881892851,0.0014886621526376165,23
0,JOY,T7,Beta,0.020906570257087097,0.016302506390241434,23
0,JOY,T7,Gamma,0.03313494384768166,0.02886524550219843,23
0,JOY,FT7,Delta,0.0011139046750585338,0.0010146473444041485,23
0,JOY,FT7,Theta,0.006412837346533468,0.00410291017468489,23
0,JOY,FT7,Alpha,0.005462144118206523,0.0035673071708327716,23
0,JOY,FT7,Beta,0.03551605925977574,0.030197561268785814,23
0,JOY,FT7,Gamma,0.028183753596051683,0.025548381642847756,23
0,JOY,FC3,Delta,0.02094731394527636,0.008334310617805618,23
0,JOY,FC3,Theta,0.009021871735684764,-0.0009257215251480586,23
0,JOY,FC3,Alpha,0.0013685274129362646,0.0010835298022818338,23
0,JOY,FC3,Beta,0.015247302873974035,-0.006057225791452786,23
0,JOY,FC3,Gamma,0.005319475987371814,-0.0003731888380573613,23
0,JOY,F3,Delta,0.010800025336527172,0.009890780112360262,23
0,JOY,F3,Theta,0.016392683986850388,0.015645074593069908,23
0,JOY,F3,Alpha,0.012556907480519996,0.012113430222419909,23
0,JOY,F3,Beta,0.039191018246063726,0.03839098571947059,23
0,JOY,F3,Gamma,0.024667186103066542,0.017052278101930263,23
0,JOY,Fp2,Delta,0.011852028335748799,0.00901429277359254,23
0,JOY,Fp2,Theta,0.004730619356113813,0.003992175297747197,23
0,JOY,Fp2,Alpha,0.012743077390832844,0.0114617160367733,23
0,JOY,Fp2,Beta,0.0563203722599538,0.047059108355703906,23
0,JOY,Fp2,Gamma,0.08398447912239042,0.0701003179152658,23
0,JOY,F7,Delta,0.00016914847005016967,8.974484573308205e-05,23
0,JOY,F7,Theta,0.0,0.0,23
0,JOY,F7,Alpha,0.0,0.0,23
0,JOY,F7,Beta,0.008995297036821797,0.008391181092193153,23
0,JOY,F7,Gamma,0.0037231667096179247,0.0030200876911332646,23
0,JOY,Fp1,Delta,0.0020536188268703063,0.001863639626210304,23
0,JOY,Fp1,Theta,0.005038111450539207,0.004353470475069231,23
0,JOY,Fp1,Alpha,0.00037938368772337386,0.00036028472048157706,23
0,JOY,Fp1,Beta,0.055022706646248115,0.05244670703220082,23
0,JOY,Fp1,Gamma,0.07430519836900287,0.07145555188148195,23
0,JOY,PO5,Delta,0.016194149927950593,0.012981875455279174,23
0,JOY,PO5,Theta,0.01850347587211717,0.01448919098796253,23
0,JOY,PO5,Alpha,0.009532948188965898,0.00927268436798713,23
0,JOY,PO5,Beta,0.014707832323631853,0.006642798547257038,23
0,JOY,PO5,Gamma,0.028074674780376754,0.023209072792154967,23
0,JOY,PO3,Delta,0.0,0.0,23
0,JOY,PO3,Theta,0.0033971826999816346,0.0011752250738407432,23
0,JOY,PO3,Alpha,0.002746445378821093,0.001844008345721439,23
0,JOY,PO3,Beta,0.007236654429284454,0.007055793248208595,23
0,JOY,PO3,Gamma,0.0076158232953052515,0.0033075274166222885,23
0,JOY,P1,Delta,0.01854992281478713,0.011664122046358291,23
0,JOY,P1,Theta,0.0008115229043763687,0.0007238031398325653,23
0,JOY,P1,Alpha,0.008624301384190704,0.007480054765697723,23
0,JOY,P1,Beta,0.013681160963026375,0.011274747856785979,23
0,JOY,P1,Gamma,0.005650430724462535,0.005461451551644425,23
0,JOY,POz,Delta,0.0,0.0,23
0,JOY,POz,Theta,0.0,0.0,23
0,JOY,POz,Alpha,0.005614986303115066,-0.0026366348789322517,23
0,JOY,POz,Beta,0.05427485916519975,0.023621930520336783,23
0,JOY,POz,Gamma,0.04003243636069775,-0.0011079085828360287,23
