rank,subject_a,subject_b,mode,metric,score_a_to_b,score_b_to_a,compatibility,asymmetry,min_score,max_score,chance_improvement,accuracy_a_to_b,accuracy_b_to_a,f1_macro_a_to_b,f1_macro_b_to_a,rank_score
42,211-000544,211-000548,calibrated,f1_macro,0.3804156548058987,0.4360942760942761,0.4082549654500874,0.05567862128837742,0.3804156548058987,0.4360942760942761,0.07492163211675407,0.4433962264150943,0.425,0.3804156548058987,0.4360942760942761,0.3804156548058987
43,211-000547,211-000548,calibrated,f1_macro,0.3784546495886702,0.4509272841620564,0.41469096687536333,0.07247263457338621,0.3784546495886702,0.4509272841620564,0.08135763354203002,0.3773584905660377,0.4861111111111111,0.3784546495886702,0.4509272841620564,0.37845464958867026
44,211-000535,211-000556,calibrated,f1_macro,0.5615577405051089,0.3733141169353404,0.46743592872022466,0.18824362356976848,0.3733141169353404,0.5615577405051089,0.13410259538689134,0.6372549019607843,0.3762376237623762,0.5615577405051089,0.3733141169353404,0.37331411693534045
45,211-000537,211-000545,calibrated,f1_macro,0.370560988162635,0.430346947738252,0.4004539679504435,0.059785959575617,0.370560988162635,0.430346947738252,0.06712063461711021,0.375,0.4732824427480916,0.370560988162635,0.430346947738252,0.37056098816263505
46,211-000531,211-000541,calibrated,f1_macro,0.3697501329080276,0.5279977313875619,0.44887393214779475,0.1582475984795343,0.3697501329080276,0.5279977313875619,0.11554059881446144,0.4488188976377952,0.5645161290322581,0.3697501329080276,0.5279977313875619,0.3697501329080276
47,211-000535,211-000539,calibrated,f1_macro,0.3687879400432463,0.4519331243469174,0.41036053219508184,0.08314518430367113,0.3687879400432463,0.4519331243469174,0.07702719886174852,0.3787878787878788,0.504950495049505,0.3687879400432463,0.4519331243469174,0.3687879400432463
48,211-000531,211-000552,calibrated,f1_macro,0.3677492877492878,0.4401709401709401,0.40396011396011394,0.07242165242165233,0.3677492877492878,0.4401709401709401,0.07062678062678063,0.4224137931034483,0.4193548387096774,0.3677492877492878,0.4401709401709401,0.3677492877492878
49,211-000549,211-000556,calibrated,f1_macro,0.5120772946859903,0.3667069243156199,0.4393921095008051,0.14537037037037037,0.3667069243156199,0.5120772946859903,0.10605877616747178,0.5490196078431373,0.3669064748201439,0.5120772946859903,0.3667069243156199,0.3667069243156199
50,211-000539,211-000550,calibrated,f1_macro,0.3666174480127968,0.3849021399595484,0.3757597939861726,0.01828469194675164,0.3666174480127968,0.3849021399595484,0.04242646065283928,0.3950617283950617,0.4545454545454545,0.3666174480127968,0.3849021399595484,0.3666174480127968
51,211-000535,211-000546,calibrated,f1_macro,0.441235567551357,0.3658170914542729,0.403526329502815,0.07541847609708413,0.3658170914542729,0.441235567551357,0.07019299616948166,0.4893617021276595,0.4158415841584158,0.441235567551357,0.3658170914542729,0.3658170914542729
52,211-000546,211-000552,calibrated,f1_macro,0.7189478896117998,0.3627474512979065,0.5408476704548532,0.3562004383138933,0.3627474512979065,0.7189478896117998,0.20751433712151984,0.7155172413793104,0.4184397163120567,0.7189478896117998,0.3627474512979065,0.36274745129790653
53,211-000537,211-000539,calibrated,f1_macro,0.4071798372873642,0.3624098124098124,0.3847948248485883,0.04477002487755177,0.3624098124098124,0.4071798372873642,0.051461491515254976,0.4318181818181818,0.3816793893129771,0.4071798372873642,0.3624098124098124,0.3624098124098124
54,211-000539,211-000554,calibrated,f1_macro,0.5032589987178149,0.3616531165311653,0.4324560576244901,0.1416058821866496,0.3616531165311653,0.5032589987178149,0.09912272429115676,0.5182481751824818,0.3636363636363636,0.5032589987178149,0.3616531165311653,0.3616531165311653
55,211-000537,211-000553,calibrated,f1_macro,0.3615793295875855,0.4667267484168893,0.41415303900223743,0.10514741882930384,0.3615793295875855,0.4667267484168893,0.08081970566890412,0.3846153846153846,0.4732824427480916,0.3615793295875855,0.4667267484168893,0.36157932958758554
56,211-000540,211-000545,calibrated,f1_macro,0.354448187041807,0.5959523809523809,0.4752002839970939,0.24150419391057393,0.354448187041807,0.5959523809523809,0.1418669506637606,0.46875,0.6274509803921569,0.354448187041807,0.5959523809523809,0.3544481870418069
57,211-000531,211-000536,calibrated,f1_macro,0.3535353535353535,0.4700750659362954,0.41180520973582446,0.11653971240094191,0.3535353535353535,0.4700750659362954,0.07847187640249115,0.4677419354838709,0.6612903225806451,0.3535353535353535,0.4700750659362954,0.3535353535353535
58,211-000533,211-000548,calibrated,f1_macro,0.3531409168081494,0.5297659260281402,0.4414534214181448,0.1766250092199908,0.3531409168081494,0.5297659260281402,0.1081200880848115,0.3490566037735849,0.5434782608695652,0.3531409168081494,0.5297659260281402,0.3531409168081494
59,211-000541,211-000557,calibrated,f1_macro,0.3524324198481501,0.4490772385509227,0.4007548291995364,0.09664481870277258,0.3524324198481501,0.4490772385509227,0.06742149586620311,0.3759398496240601,0.4566929133858268,0.3524324198481501,0.4490772385509227,0.3524324198481501
60,211-000531,211-000535,calibrated,f1_macro,0.3511745465358311,0.3816287878787879,0.3664016672073095,0.030454241342956823,0.3511745465358311,0.3816287878787879,0.033068333873976175,0.4653465346534653,0.4838709677419355,0.3511745465358311,0.3816287878787879,0.3511745465358311
61,211-000531,211-000546,calibrated,f1_macro,0.4783444198078344,0.3472222222222222,0.4127833210150283,0.13112219758561217,0.3472222222222222,0.4783444198078344,0.07944998768169498,0.5957446808510638,0.4516129032258064,0.4783444198078344,0.3472222222222222,0.3472222222222222
62,211-000544,211-000547,calibrated,f1_macro,0.572418458388182,0.3467319190462665,0.45957518871722425,0.22568653934191546,0.3467319190462665,0.572418458388182,0.12624185538389093,0.5625,0.4,0.572418458388182,0.3467319190462665,0.34673191904626655
63,211-000531,211-000539,calibrated,f1_macro,0.3489295097545978,0.3456252419667054,0.3472773758606516,0.00330426778789239,0.3456252419667054,0.3489295097545978,0.01394404252731829,0.4393939393939394,0.3064516129032258,0.3489295097545978,0.3456252419667054,0.3456252419667054
64,211-000535,211-000557,calibrated,f1_macro,0.3444697003025814,0.3670450636394909,0.3557573819710361,0.022575363336909515,0.3444697003025814,0.3670450636394909,0.02242404863770281,0.3383458646616541,0.3861386138613861,0.3444697003025814,0.3670450636394909,0.3444697003025814
65,211-000537,211-000541,calibrated,f1_macro,0.3435942277042907,0.3764111705288176,0.36000269911655414,0.03281694282452691,0.3435942277042907,0.3764111705288176,0.026669365783220822,0.3228346456692913,0.4198473282442748,0.3435942277042907,0.3764111705288176,0.3435942277042907
66,211-000536,211-000540,calibrated,f1_macro,0.5394024634530964,0.3435154935154935,0.44145897848429494,0.1958869699376029,0.3435154935154935,0.5394024634530964,0.10812564515096162,0.7058823529411765,0.3387096774193548,0.5394024634530964,0.3435154935154935,0.3435154935154935
67,211-000531,211-000544,calibrated,f1_macro,0.3412014230979748,0.4109090909090909,0.3760552570035328,0.06970766781111609,0.3412014230979748,0.4109090909090909,0.0427219236701995,0.4,0.4193548387096774,0.3412014230979748,0.4109090909090909,0.34120142309797474
68,211-000541,211-000545,calibrated,f1_macro,0.3359843546284224,0.3837664685601372,0.3598754115942798,0.047782113931714776,0.3359843546284224,0.3837664685601372,0.02654207826094651,0.34375,0.4094488188976378,0.3359843546284224,0.3837664685601372,0.33598435462842247
69,211-000545,211-000556,calibrated,f1_macro,0.4684826536503437,0.3357524828113063,0.402117568230825,0.13273017083903738,0.3357524828113063,0.4684826536503437,0.06878423489749169,0.5392156862745098,0.3541666666666667,0.4684826536503437,0.3357524828113063,0.3357524828113063
70,211-000535,211-000554,calibrated,f1_macro,0.4518000518000518,0.3348001150417026,0.3933000834208772,0.11699993675834919,0.3348001150417026,0.4518000518000518,0.059966750087543874,0.4963503649635036,0.3366336633663366,0.4518000518000518,0.3348001150417026,0.3348001150417026
71,211-000545,211-000549,calibrated,f1_macro,0.3327444404519503,0.3684629096393801,0.3506036750456652,0.035718469187429824,0.3327444404519503,0.3684629096393801,0.017270341712331883,0.3669064748201439,0.3645833333333333,0.3327444404519503,0.3684629096393801,0.3327444404519503
72,211-000550,211-000557,calibrated,f1_macro,0.4114307633294975,0.331370586272547,0.37140067480102223,0.08006017705695051,0.331370586272547,0.4114307633294975,0.03806734146768892,0.4736842105263157,0.3333333333333333,0.4114307633294975,0.331370586272547,0.331370586272547
73,211-000536,211-000553,calibrated,f1_macro,0.3388577029314799,0.3287804211101996,0.3338190620208398,0.01007728182128026,0.3287804211101996,0.3388577029314799,0.00048572868750645926,0.4230769230769231,0.4032258064516129,0.3388577029314799,0.3287804211101996,0.32878042111019967
74,211-000532,211-000546,calibrated,f1_macro,0.4624312039427045,0.3274944681068774,0.39496283602479093,0.1349367358358271,0.3274944681068774,0.4624312039427045,0.061629502691457616,0.4964539007092198,0.3402777777777778,0.4624312039427045,0.3274944681068774,0.3274944681068774
75,211-000541,211-000544,calibrated,f1_macro,0.5867343336863208,0.3230498458192328,0.4548920897527768,0.263684487867088,0.3230498458192328,0.5867343336863208,0.12155875641944347,0.5916666666666667,0.3622047244094488,0.5867343336863208,0.3230498458192328,0.3230498458192328
76,211-000553,211-000555,calibrated,f1_macro,0.3229112362836472,0.4133963942113348,0.368153815247491,0.09048515792768758,0.3229112362836472,0.4133963942113348,0.03482048191415771,0.3909774436090225,0.4134615384615384,0.3229112362836472,0.4133963942113348,0.32291123628364726
77,211-000533,211-000546,calibrated,f1_macro,0.542269392033543,0.3228803605904923,0.43257487631201763,0.21938903144305066,0.3228803605904923,0.542269392033543,0.09924154297868432,0.5531914893617021,0.3768115942028985,0.542269392033543,0.3228803605904923,0.3228803605904923
78,211-000543,211-000546,calibrated,f1_macro,0.6348737463054889,0.3227323358902306,0.47880304109785976,0.3121414104152583,0.3227323358902306,0.6348737463054889,0.14546970776452645,0.6312056737588653,0.3475177304964539,0.6348737463054889,0.3227323358902306,0.32273233589023065
79,211-000549,211-000550,calibrated,f1_macro,0.322322477378048,0.3473654820310319,0.33484397970453994,0.025043004652983925,0.322322477378048,0.3473654820310319,0.0015106463712066254,0.3086419753086419,0.39568345323741,0.322322477378048,0.3473654820310319,0.322322477378048
80,211-000533,211-000553,calibrated,f1_macro,0.4195386503966727,0.3185440427541494,0.36904134657541104,0.10099460764252333,0.3185440427541494,0.4195386503966727,0.03570801324207773,0.4519230769230769,0.3115942028985507,0.4195386503966727,0.3185440427541494,0.3185440427541494
81,211-000532,211-000539,calibrated,f1_macro,0.3184863582015657,0.4720289855072463,0.39525767185440597,0.15354262730568063,0.3184863582015657,0.4720289855072463,0.06192433852107265,0.3257575757575757,0.4722222222222222,0.3184863582015657,0.4720289855072463,0.3184863582015657
82,211-000532,211-000549,calibrated,f1_macro,0.3163748442520821,0.3612349808001981,0.3388049125261401,0.04486013654811599,0.3163748442520821,0.3612349808001981,0.005471579192806775,0.3237410071942446,0.3958333333333333,0.3163748442520821,0.3612349808001981,0.31637484425208207
83,211-000535,211-000537,calibrated,f1_macro,0.4665978672170623,0.3158840269190159,0.39124094706803914,0.1507138402980464,0.3158840269190159,0.4665978672170623,0.05790761373470582,0.4732824427480916,0.3168316831683168,0.4665978672170623,0.3158840269190159,0.31588402691901596
84,211-000541,211-000550,calibrated,f1_macro,0.5517307864765492,0.3151211361737677,0.4334259613251584,0.23660965030278147,0.3151211361737677,0.5517307864765492,0.10009262799182511,0.5555555555555556,0.3543307086614173,0.5517307864765492,0.3151211361737677,0.3151211361737677
85,211-000549,211-000554,calibrated,f1_macro,0.4655646296077116,0.3142067947200264,0.389885712163869,0.15135783488768523,0.3142067947200264,0.4655646296077116,0.05655237883053571,0.4671532846715328,0.3093525179856115,0.4655646296077116,0.3142067947200264,0.31420679472002644
86,211-000537,211-000548,calibrated,f1_macro,0.3360902255639098,0.3127632301776231,0.32442672787076643,0.023326995386286686,0.3127632301776231,0.3360902255639098,-0.008906605462566886,0.3396226415094339,0.3893129770992366,0.3360902255639098,0.3127632301776231,0.3127632301776231
87,211-000556,211-000557,calibrated,f1_macro,0.5454799297886824,0.3121921921921922,0.4288360609904373,0.23328773759649024,0.3121921921921922,0.5454799297886824,0.09550272765710399,0.5488721804511278,0.3431372549019608,0.5454799297886824,0.3121921921921922,0.3121921921921922
88,211-000537,211-000554,calibrated,f1_macro,0.3120222614767705,0.4008445258445259,0.3564333936606482,0.08882226436775542,0.3120222614767705,0.4008445258445259,0.023100060327314875,0.3211678832116788,0.3893129770992366,0.3120222614767705,0.4008445258445259,0.3120222614767705
89,211-000547,211-000549,calibrated,f1_macro,0.3400321251484042,0.3111159942216525,0.32557405968502834,0.028916130926751715,0.3111159942216525,0.3400321251484042,-0.007759273648304976,0.3741007194244604,0.3333333333333333,0.3400321251484042,0.3111159942216525,0.3111159942216525
90,211-000532,211-000541,calibrated,f1_macro,0.3106498688456703,0.3130784559355988,0.3118641623906345,0.002428587089928491,0.3106498688456703,0.3130784559355988,-0.02146917094269879,0.3543307086614173,0.3125,0.3106498688456703,0.3130784559355988,0.31064986884567025
