mode,model_subject,predict_subject,accuracy,f1_macro,n_train,n_predict,model_solver,train_joy,train_neutro,train_sad,predict_joy,predict_neutro,predict_sad
calibrated,211-000555,211-000541,0.2755905511811024,0.28953608615033516,133,127,lsqr_auto,42,46,45,41,40,46
strict,211-000555,211-000543,0.3829787234042553,0.316098541980895,133,141,lsqr_auto,42,46,45,49,45,47
calibrated,211-000555,211-000543,0.2695035460992908,0.268018208110374,133,141,lsqr_auto,42,46,45,49,45,47
strict,211-000555,211-000544,0.39166666666666666,0.34477048380437636,133,120,lsqr_auto,42,46,45,27,46,47
calibrated,211-000555,211-000544,0.2916666666666667,0.29768462804315393,133,120,lsqr_auto,42,46,45,27,46,47
strict,211-000555,211-000545,0.23958333333333334,0.12994350282485875,133,96,lsqr_auto,42,46,45,44,23,29
calibrated,211-000555,211-000545,0.28125,0.27499999999999997,133,96,lsqr_auto,42,46,45,44,23,29
strict,211-000555,211-000546,0.375886524822695,0.30465949820788535,133,141,lsqr_auto,42,46,45,48,47,46
calibrated,211-000555,211-000546,0.19858156028368795,0.19690402476780186,133,141,lsqr_auto,42,46,45,48,47,46
strict,211-000555,211-000547,0.4305555555555556,0.395042735042735,133,144,lsqr_auto,42,46,45,49,47,48
calibrated,211-000555,211-000547,0.4236111111111111,0.4197693760491381,133,144,lsqr_auto,42,46,45,49,47,48
strict,211-000555,211-000548,0.5283018867924528,0.41534391534391535,133,106,lsqr_auto,42,46,45,37,39,30
calibrated,211-000555,211-000548,0.2641509433962264,0.2675407417599217,133,106,lsqr_auto,42,46,45,37,39,30
strict,211-000555,211-000549,0.37410071942446044,0.27608181724740466,133,139,lsqr_auto,42,46,45,46,46,47
calibrated,211-000555,211-000549,0.2446043165467626,0.23922902494331066,133,139,lsqr_auto,42,46,45,46,46,47
strict,211-000555,211-000550,0.30864197530864196,0.31758340226082166,133,81,lsqr_auto,42,46,45,37,14,30
calibrated,211-000555,211-000550,0.1728395061728395,0.1814086814086814,133,81,lsqr_auto,42,46,45,37,14,30
strict,211-000555,211-000552,0.3017241379310345,0.15555555555555556,133,116,lsqr_auto,42,46,45,36,45,35
calibrated,211-000555,211-000552,0.1810344827586207,0.17424242424242423,133,116,lsqr_auto,42,46,45,36,45,35
strict,211-000555,211-000553,0.3557692307692308,0.2078824392693006,133,104,lsqr_auto,42,46,45,38,35,31
calibrated,211-000555,211-000553,0.41346153846153844,0.4133963942113348,133,104,lsqr_auto,42,46,45,38,35,31
strict,211-000555,211-000554,0.35766423357664234,0.2592220776269856,133,137,lsqr_auto,42,46,45,49,44,44
calibrated,211-000555,211-000554,0.30656934306569344,0.29648320369969855,133,137,lsqr_auto,42,46,45,49,44,44
strict,211-000555,211-000556,0.24509803921568626,0.16666666666666666,133,102,lsqr_auto,42,46,45,39,36,27
calibrated,211-000555,211-000556,0.12745098039215685,0.12092374064205051,133,102,lsqr_auto,42,46,45,39,36,27
strict,211-000555,211-000557,0.5112781954887218,0.41035963499731615,133,133,lsqr_auto,42,46,45,45,43,45
calibrated,211-000555,211-000557,0.39097744360902253,0.3892375909423566,133,133,lsqr_auto,42,46,45,45,43,45
strict,211-000556,211-000531,0.3387096774193548,0.34422657952069713,102,62,lsqr_auto,39,36,27,35,18,9
calibrated,211-000556,211-000531,0.5,0.4682013983592008,102,62,lsqr_auto,39,36,27,35,18,9
strict,211-000556,211-000532,0.2847222222222222,0.19689059055574895,102,144,lsqr_auto,39,36,27,49,47,48
calibrated,211-000556,211-000532,0.2847222222222222,0.28631366662117697,102,144,lsqr_auto,39,36,27,49,47,48
strict,211-000556,211-000533,0.36231884057971014,0.20264116575591987,102,138,lsqr_auto,39,36,27,45,45,48
calibrated,211-000556,211-000533,0.21739130434782608,0.22181486866539157,102,138,lsqr_auto,39,36,27,45,45,48
strict,211-000556,211-000535,0.26732673267326734,0.21388888888888888,102,101,lsqr_auto,39,36,27,45,28,28
calibrated,211-000556,211-000535,0.37623762376237624,0.3733141169353404,102,101,lsqr_auto,39,36,27,45,28,28
strict,211-000556,211-000536,0.0967741935483871,0.06153846153846154,102,124,lsqr_auto,39,36,27,47,46,31
calibrated,211-000556,211-000536,0.2903225806451613,0.30052155542351616,102,124,lsqr_auto,39,36,27,47,46,31
strict,211-000556,211-000537,0.3511450381679389,0.22656573645162506,102,131,lsqr_auto,39,36,27,42,42,47
calibrated,211-000556,211-000537,0.26717557251908397,0.2598636303455581,102,131,lsqr_auto,39,36,27,42,42,47
strict,211-000556,211-000539,0.3181818181818182,0.2127329192546584,102,132,lsqr_auto,39,36,27,49,44,39
calibrated,211-000556,211-000539,0.49242424242424243,0.4865839243498818,102,132,lsqr_auto,39,36,27,49,44,39
strict,211-000556,211-000540,0.24509803921568626,0.21792717086834734,102,102,lsqr_auto,39,36,27,49,33,20
calibrated,211-000556,211-000540,0.24509803921568626,0.23966087675765094,102,102,lsqr_auto,39,36,27,49,33,20
strict,211-000556,211-000541,0.36220472440944884,0.1772639691714836,102,127,lsqr_auto,39,36,27,41,40,46
calibrated,211-000556,211-000541,0.2992125984251969,0.297385721045984,102,127,lsqr_auto,39,36,27,41,40,46
strict,211-000556,211-000543,0.3191489361702128,0.16129032258064516,102,141,lsqr_auto,39,36,27,49,45,47
calibrated,211-000556,211-000543,0.49645390070921985,0.4860810562992848,102,141,lsqr_auto,39,36,27,49,45,47
strict,211-000556,211-000544,0.20833333333333334,0.13438807055828333,102,120,lsqr_auto,39,36,27,27,46,47
calibrated,211-000556,211-000544,0.3333333333333333,0.32592592592592595,102,120,lsqr_auto,39,36,27,27,46,47
strict,211-000556,211-000545,0.21875,0.19635378171963538,102,96,lsqr_auto,39,36,27,44,23,29
calibrated,211-000556,211-000545,0.3541666666666667,0.3357524828113063,102,96,lsqr_auto,39,36,27,44,23,29
