class_label,condition,feature_idx,feature_name,feature_type,channel,band,pair,cluster,mean_abs_shap,std_abs_shap,mean_signed_shap,std_signed_shap,n_subjects
0,JOY,101,C5_Beta,bandpower,C5,Beta,,temporal_left,0.006571417068122087,0.02752713948128111,0.002343248713182485,0.010454194929588533,23
0,JOY,102,FC1_Alpha,bandpower,FC1,Alpha,,other,0.019761760285922417,0.052249516255721405,0.016370841628255084,0.04814747166312122,23
0,JOY,103,FC1_Beta,bandpower,FC1,Beta,,other,0.04916910913143605,0.11789021065507077,0.03378283069641859,0.09524205232509991,23
0,JOY,104,F2_Alpha,bandpower,F2,Alpha,,frontal_bilateral,0.003977552859055137,0.01067848610992348,0.0032216920394111427,0.010471049179251471,23
0,JOY,105,F2_Beta,bandpower,F2,Beta,,frontal_bilateral,0.022678743421825475,0.0697350535390473,0.019660129177533965,0.06953725240824822,23
0,JOY,106,F6_Alpha,bandpower,F6,Alpha,,other,0.01506019788358719,0.055792636760444214,0.01215054162527957,0.05439690525682794,23
0,JOY,107,F6_Beta,bandpower,F6,Beta,,other,0.06609176428055917,0.1713794123093876,0.04309710374562273,0.14327351165441177,23
0,JOY,108,FC5_Alpha,bandpower,FC5,Alpha,,frontal_inferior_left,0.01390913544455695,0.042737404067305564,0.00830401918920249,0.026214308882907125,23
0,JOY,109,FC5_Beta,bandpower,FC5,Beta,,frontal_inferior_left,0.0644801215424845,0.14839309224936126,0.049769662419615134,0.11794672924588083,23
0,JOY,110,F1_Alpha,bandpower,F1,Alpha,,frontal_bilateral,0.001158713779546952,0.004435573022215953,0.0004450074945997917,0.0017085290622329064,23
0,JOY,111,F1_Beta,bandpower,F1,Beta,,frontal_bilateral,0.007474419085973547,0.0171322378710999,0.002510013328553286,0.00699526129772184,23
