class_label,condition,channel,band,cluster,mean_abs_shap,mean_signed_shap,n_subjects
1,NEUTRO,CP5,Beta,temporal_left,0.03691848076719709,0.012241152591813525,23
1,NEUTRO,CP1,Alpha,other,0.0044887029973610035,0.002923810466201532,23
1,NEUTRO,CP1,Beta,other,0.017328134819686026,0.013468231690110606,23
1,NEUTRO,C1,Alpha,other,0.008118495368523448,0.004294126826460068,23
1,NEUTRO,C1,Beta,other,0.029090347157041434,0.010875785710353915,23
1,NEUTRO,C2,Alpha,other,0.01228231920355904,0.00682215204376243,23
1,NEUTRO,C2,Beta,other,0.03083365762835318,0.012057419080799629,23
1,NEUTRO,FC2,Alpha,other,0.004767302746573894,0.0001330991097567592,23
1,NEUTRO,FC2,Beta,other,0.026030140253413006,0.014918373354188974,23
1,NEUTRO,FC6,Alpha,other,0.0008677823319447328,-0.0003950157060716405,23
1,NEUTRO,FC6,Beta,other,0.012688569572326702,0.006946515152648475,23
1,NEUTRO,C5,Alpha,temporal_left,0.020009018140379146,0.007606042336672993,23
1,NEUTRO,C5,Beta,temporal_left,0.06552928176813086,0.04479309982228519,23
1,NEUTRO,FC1,Alpha,other,0.006610253592876626,0.0033984906176962176,23
1,NEUTRO,FC1,Beta,other,0.007798133472159997,0.004204696389855484,23
1,NEUTRO,F2,Alpha,frontal_bilateral,0.025782690146400705,0.0219246189703794,23
1,NEUTRO,F2,Beta,frontal_bilateral,0.04413205915346472,0.03448125163500602,23
1,NEUTRO,F6,Alpha,other,0.005658277400037848,0.000907488477561903,23
1,NEUTRO,F6,Beta,other,0.05505687874466009,0.044140243284587315,23
1,NEUTRO,FC5,Alpha,frontal_inferior_left,0.03143801127319943,0.020055692877349502,23
1,NEUTRO,FC5,Beta,frontal_inferior_left,0.07606128807689752,0.0646748284116303,23
1,NEUTRO,F1,Alpha,frontal_bilateral,0.009022840575046256,0.009003467323927357,23
1,NEUTRO,F1,Beta,frontal_bilateral,0.018435271789780855,0.010926787288017364,23
1,NEUTRO,AF4,Alpha,frontal_bilateral,0.022772238061249336,0.001953157196007366,23
1,NEUTRO,AF4,Beta,frontal_bilateral,0.05207319677623959,0.04491396589396938,23
1,NEUTRO,AF8,Alpha,frontal_bilateral,0.04335593510633431,0.02825655197402477,23
1,NEUTRO,AF8,Beta,frontal_bilateral,0.11306904738999321,0.09709457239611999,23
1,NEUTRO,F5,Alpha,frontal_inferior_left,0.01838922710975312,0.011073304358294787,23
1,NEUTRO,F5,Beta,frontal_inferior_left,0.11279636598669893,0.10310092645417059,23
1,NEUTRO,AF7,Alpha,frontal_bilateral,0.00840264069031363,0.005271915538907404,23
1,NEUTRO,AF7,Beta,frontal_bilateral,0.09487224528234899,0.06785456312384391,23
1,NEUTRO,AF3,Alpha,frontal_bilateral,0.007233405803642436,0.005002544064935282,23
1,NEUTRO,AF3,Beta,frontal_bilateral,0.06068659082630913,0.05166023468871171,23
1,NEUTRO,Fpz,Alpha,frontal_bilateral,0.028628409384832798,0.01932129140117701,23
1,NEUTRO,Fpz,Beta,frontal_bilateral,0.14454528042748244,0.12714327988767507,23
2,SAD,O2,Alpha,occipital,0.018322775921889026,0.01030698205662625,23
2,SAD,O2,Beta,occipital,0.08040583036276402,0.06141153885790405,23
2,SAD,O1,Alpha,occipital,0.030824883881253644,0.01849080207326623,23
2,SAD,O1,Beta,occipital,0.10613237284748879,0.08131823129323601,23
2,SAD,Oz,Alpha,occipital,0.015943977694143865,0.007154247425085244,23
2,SAD,Oz,Beta,occipital,0.023312808302509286,0.009889478462015308,23
2,SAD,Pz,Alpha,parietal_midline,0.0023690615977778324,-0.0007614567667528552,23
2,SAD,Pz,Beta,parietal_midline,0.006951662936177151,0.0016777482607363981,23
2,SAD,P4,Alpha,other,0.0129974607441823,0.01126845593462638,23
2,SAD,P4,Beta,other,0.012119278538042715,0.011652892792124591,23
2,SAD,CP4,Alpha,temporal_right,0.01578438356693602,0.014589672637406589,23
2,SAD,CP4,Beta,temporal_right,0.026396200230601616,0.025604788809989974,23
2,SAD,P8,Alpha,temporal_right,0.008560605688053051,0.0032332852329013165,23
2,SAD,P8,Beta,temporal_right,0.015422021724735238,-0.0025229518195340177,23
2,SAD,C4,Alpha,other,0.020880989625400588,0.004644317656694122,23
2,SAD,C4,Beta,other,0.03847329286689807,0.02138931833211108,23
2,SAD,TP8,Alpha,temporal_right,0.0040042775120925364,0.0008661714492892568,23
2,SAD,TP8,Beta,temporal_right,0.015429223599621176,0.013357938180218156,23
2,SAD,T8,Alpha,temporal_right,0.00639929155171945,0.0005795528771558821,23
2,SAD,T8,Beta,temporal_right,0.03930604613246758,0.03164532821950268,23
2,SAD,P7,Alpha,temporal_left,0.0017808142441007994,0.0009483191507811878,23
2,SAD,P7,Beta,temporal_left,0.03160188297913468,0.010343457118946247,23
2,SAD,P3,Alpha,centro_parietal_left,0.02510809510134545,0.014097752652282736,23
2,SAD,P3,Beta,centro_parietal_left,0.01881870074038596,0.009252206545877937,23
2,SAD,CP3,Alpha,temporal_left,0.020629815561347867,0.015367584730378957,23
2,SAD,CP3,Beta,temporal_left,0.04961608187712856,0.045227015626732425,23
2,SAD,CPz,Alpha,parietal_midline,0.02073309222959993,0.0087464068514683,23
2,SAD,CPz,Beta,parietal_midline,0.021172464532353635,0.005130415267543204,23
2,SAD,Cz,Alpha,parietal_midline,0.015022916484164988,0.001214943517689366,23
